Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.760000,-38.265000,0.000000,top
"C2","T491A106K010AT","T491A",37.760000,-33.185000,0.000000,top
"D1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",45.380000,-38.265000,180.000000,top
"D2","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",45.380000,-58.585000,0.000000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",45.380000,-53.505000,0.000000,top
"Q1","BC847","SOT-23",36.210000,-48.425000,90.000000,top
"R1","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",37.760000,-43.345000,0.000000,top
"R2","4k7","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",32.680000,-56.045000,270.000000,top
"R3","10","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.000000,-53.505000,180.000000,top
"R4","10","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.000000,-38.265000,180.000000,top
"R5","10","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.000000,-43.345000,180.000000,top
"R6","10","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.000000,-48.425000,180.000000,top
"R7","120","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.000000,-33.185000,0.000000,top
"R8","120","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.000000,-58.585000,0.000000,top
"R9","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",39.030000,-53.505000,180.000000,top
"R10","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",45.380000,-33.185000,180.000000,top
"R11","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",39.030000,-58.585000,180.000000,top
"U1","MAX490E","SOIC-8_3.9x4.9mm_P1.27mm",45.380000,-45.885000,0.000000,top
